country;countryAlt;countryFirstName;countryLastName;countryName;region;score;scoreFirstName;scoreLastName;script;subRegion;topRegion;full_name;gender;source
FR;FR;GA;FR;France;Europe;3.6879372793970338;1.816507732904544;2.48427321591728;LATIN;Western Europe;Europe;lionel bayle;m;zbmath
GB;IE;CD;GB;United Kingdom of Great Britain and Northern Ireland;Europe;2.5003756830886052;2.0129815133013165;1.3990472121404425;LATIN;Northern Europe;Europe;jonathan goodman;m;zbmath
DE;AM;AT;DE;Germany;Europe;2.288522587245608;2.6730446392299254;1.574315521520273;LATIN;Western Europe;Europe;robert cahn;m;zbmath
SL;GR;IE;ES;Sierra Leone;Africa;2.1190078353607853;3.7976064480559013;0.25347427254026755;LATIN;Western Africa;Africa;john mardo;m;zbmath
EG;EG;JO;EG;Egypt;Africa;4.327188406791334;2.7985520741755536;3.230723060029613;LATIN;Northern Africa;Africa;alaa abdel-hamid;m;zbmath
SO;DZ;LY;DZ;Somalia;Africa;4.401073133681628;6.91353904985281;2.16507103479415;LATIN;Eastern Africa;Africa;mohamed mosbah;m;zbmath
RU;UZ;MD;RU;Russian Federation;Europe;3.6809414231516864;3.8814305150310404;0.5784384675393786;LATIN;Eastern Europe;Europe;elena tatievskaya;f;zbmath
CZ;NL;CH;RS;Czech Republic;Europe;1.4229654667964722;2.574839207700552;0.7103294022156663;LATIN;Eastern Europe;Europe;marcel polakovic;m;zbmath
PL;PL;PL;PL;Poland;Europe;5.1509041309078265;3.716243144377225;3.2889037064809834;LATIN;Eastern Europe;Europe;rafal kolodziej;m;zbmath
RO;MD;RO;RO;Romania;Europe;3.732949075346789;5.147903322019482;0.6733927233096547;LATIN;Eastern Europe;Europe;gheorghe bantas;m;zbmath
IR;IR;IL;IR;Iran (Islamic Republic of);Asia;2.7855023043506817;2.5693328914784943;3.1891286114488584;LATIN;Southern Asia;Asia;rachel fouladi;f;zbmath
PL;PL;PL;PL;Poland;Europe;5.5254328396250845;4.367598827922038;3.3157248458282176;LATIN;Eastern Europe;Europe;magdalena bojarska;f;zbmath
KR;KR;KR;KR;Korea, Republic of;Asia;5.132434599573323;1.5214552351306818;4.747136139591875;LATIN;Eastern Asia;Asia;jungmin ahn;m;zbmath
JP;JP;JP;JP;Japan;Asia;3.586802630041088;2.726161709300848;2.8762000374496264;LATIN;Eastern Asia;Asia;koji okuguchi;u;zbmath
JP;JP;JP;JP;Japan;Asia;3.8784210613075847;3.997279076971549;2.5453018417610687;LATIN;Eastern Asia;Asia;takashi amisaki;u;zbmath
TR;ET;TR;TR;Turkey;Asia;3.9802698051287817;3.9088672931065696;0.7629526357636058;LATIN;Western Asia;Asia;zeynep kalaylioglu;f;zbmath
PL;HU;PL;IL;Poland;Europe;2.0732819140959045;3.533121576100775;0.1792336420528915;LATIN;Eastern Europe;Europe;adam szpiro;m;zbmath
DE;IL;LB;DE;Germany;Europe;2.04444545213119;2.2099161416872084;1.9494312830192453;LATIN;Western Europe;Europe;elias wagner;m;zbmath
PL;PL;PL;PL;Poland;Europe;3.608551378970476;0.4565274360588527;3.0059298710576767;LATIN;Eastern Europe;Europe;marek cezary zdun;m;zbmath
PL;PL;PL;PL;Poland;Europe;4.6179109854468905;3.9586453220254616;2.3813433691305335;LATIN;Eastern Europe;Europe;janusz gorski;m;zbmath
TR;TR;TR;TR;Turkey;Asia;3.522312131412592;0.9639648085731024;2.5437062601178377;LATIN;Western Asia;Asia;bahri turan;m;zbmath
ES;PT;ES;ES;Spain;Europe;3.8400631682259374;3.8470886324541897;0.9946533521831199;LATIN;Southern Europe;Europe;luis giraldo-montes;m;zbmath
BD;PK;PK;EG;Bangladesh;Asia;2.249473834763805;2.1092847113647637;1.9921875522089791;LATIN;Southern Asia;Asia;shahid kamal;m;zbmath
SL;DE;CM;DE;Sierra Leone;Africa;3.2083129594314976;3.783316642121206;2.240584462286512;LATIN;Western Africa;Africa;joseph conrad;m;zbmath
RS;RS;RS;RS;Serbia;Europe;4.7359574596134415;2.537814939378121;4.3941203176986745;LATIN;Southern Europe;Europe;milovan jovanovic;m;zbmath
DZ;DZ;GM;DZ;Algeria;Africa;4.091374231278769;3.872273296262947;2.5957950553291407;LATIN;Northern Africa;Africa;mustapha cheggag;m;zbmath
ES;ES;ES;ES;Spain;Europe;5.057442974386204;4.312471296295157;2.8434582098849774;LATIN;Southern Europe;Europe;jesus fernandez-sanchez;m;zbmath
ES;GB;ES;GB;Spain;Europe;2.4582830128756616;1.9784160071156665;1.465328093633509;LATIN;Southern Europe;Europe;jaume jordan;m;zbmath
PT;ES;ES;PT;Portugal;Europe;3.4011604747308786;1.6556193989863468;3.1591173921070133;LATIN;Southern Europe;Europe;mauricio costa;m;zbmath
IE;GB;KE;GB;Ireland;Europe;3.6487055310295946;2.6121725319932882;2.252024745776483;LATIN;Northern Europe;Europe;stephen sturgeon;m;zbmath
TR;TR;SD;TR;Turkey;Asia;3.765028559676667;3.5628642635260297;2.9527830945762794;LATIN;Western Asia;Asia;omer altun;m;zbmath
DE;NL;CH;NL;Germany;Europe;3.634443560787185;3.139790851188645;2.8629718723871367;LATIN;Western Europe;Europe;hans wolters;m;zbmath
CH;SE;CH;FR;Switzerland;Europe;1.7062150754434382;2.9472731264352166;1.0235115354009037;LATIN;Western Europe;Europe;daniel vallieres;m;zbmath
ES;PT;ES;PT;Spain;Europe;4.420510800224619;3.4856655755730133;2.695897578152;LATIN;Southern Europe;Europe;rafael castro;m;zbmath
BE;NL;BE;BE;Belgium;Europe;2.9645426540258284;1.3270832314859302;2.501155174593205;LATIN;Western Europe;Europe;danny beckers;m;zbmath
FR;FR;FR;FR;France;Europe;3.831388546464946;0.9798387830300824;2.6789941703373907;LATIN;Western Europe;Europe;pierre loic meliot;m;zbmath
ES;CH;IT;ES;Spain;Europe;2.676555325078932;3.1703243683349496;1.6537763851098126;LATIN;Southern Europe;Europe;claudio jerez;m;zbmath
GB;IE;MW;IE;United Kingdom of Great Britain and Northern Ireland;Europe;2.8072118126447947;2.0509415068911494;2.158536445072844;LATIN;Northern Europe;Europe;steven tedford;m;zbmath
ES;PT;PT;GB;Spain;Europe;4.035469889536632;4.8266448832861695;1.465328093633509;LATIN;Southern Europe;Europe;pedro jordan;m;zbmath
UA;UA;UA;UA;Ukraine;Europe;5.276935223941803;4.33164690052503;3.031975458161404;LATIN;Eastern Europe;Europe;oksana medvid;f;zbmath
DE;FR;NL;DE;Germany;Europe;1.4119244816517362;1.2636213990417335;1.3921048620342564;LATIN;Western Europe;Europe;mark weil;m;zbmath
ES;PT;ES;PT;Spain;Europe;4.958151371058952;4.32389137947876;3.2857751742616403;LATIN;Southern Europe;Europe;manuel marques;m;zbmath
JP;JP;JP;JP;Japan;Asia;4.395634625455643;2.6359454015364703;3.937117125188002;LATIN;Eastern Asia;Asia;shoichi suzuki;u;zbmath
RU;UZ;RU;RU;Russian Federation;Europe;5.417619645908589;4.728442097243732;2.0191572972650182;LATIN;Eastern Europe;Europe;ekaterina eliseeva;f;zbmath
DE;DE;RO;DE;Germany;Europe;3.083643787225544;2.274462121570632;2.0544990163574766;LATIN;Western Europe;Europe;eugen krug;m;zbmath
IE;GB;IE;MM;Ireland;Europe;2.7502280010977818;4.1056974842163445;-0.6945462007668188;LATIN;Northern Europe;Europe;william vautaw;m;zbmath
IE;GB;DE;GB;Ireland;Europe;3.948699136659744;2.6202756618352203;2.0986727300528254;LATIN;Northern Europe;Europe;richard mansfield;m;zbmath
TN;TN;TN;TN;Tunisia;Africa;4.850549634969257;3.149573308482563;3.493243031169753;LATIN;Northern Africa;Africa;chokri abdelkefi;m;zbmath
PT;ES;ES;PT;Portugal;Europe;4.592096171822009;3.8470886324541897;2.8286160594872443;LATIN;Southern Europe;Europe;luis sequeira;m;zbmath
PK;BD;PK;YE;Pakistan;Asia;3.874731452281435;5.352543521140184;0.41822580573185386;LATIN;Southern Asia;Asia;muhammad numan;m;zbmath
DE;DE;IL;DE;Germany;Europe;3.2377277368018795;2.013556299821316;2.638467058939231;LATIN;Western Europe;Europe;gregory werner;m;zbmath
IE;GB;IE;FR;Ireland;Europe;4.491696222516465;3.5941056635051694;1.6736731287987676;LATIN;Northern Europe;Europe;annie raymond;f;zbmath
FR;FR;CY;FR;France;Europe;4.512602993005669;2.6670316932137688;3.056781854599312;LATIN;Western Europe;Europe;nicolas gastineau;m;zbmath
ES;PT;IT;ES;Spain;Europe;3.3357138836698925;2.463304604068256;2.415532187420482;LATIN;Southern Europe;Europe;leonardo aguirre;m;zbmath
TR;TR;TR;TR;Turkey;Asia;3.98503247843454;2.090517500873744;2.888664375295483;LATIN;Western Asia;Asia;gozde ozkan;f;zbmath
GB;GB;GB;GB;United Kingdom of Great Britain and Northern Ireland;Europe;2.3233033928948097;0.9195191347714808;1.3446102079956392;LATIN;Northern Europe;Europe;ross drynan;m;zbmath
DE;AT;AT;DE;Germany;Europe;4.105945501051156;3.0670319669637576;2.6483897459027794;LATIN;Western Europe;Europe;matthias birkner;m;zbmath
GB;IE;ZW;GB;United Kingdom of Great Britain and Northern Ireland;Europe;2.741465693219486;0.5505035552125279;2.7250196400982034;LATIN;Northern Europe;Europe;douglas john white;m;zbmath
HK;HK;AM;HK;China, Hong Kong Special Administrative Region;Asia;4.508159988239449;-0.4881283709803429;5.894860162216895;LATIN;Eastern Asia;Asia;davy ho chan;m;zbmath
ES;IL;ES;ES;Spain;Europe;3.94842270248792;2.5279196745310606;2.2614069620319235;LATIN;Southern Europe;Europe;yolanda moreno;f;zbmath
PL;PL;PL;PL;Poland;Europe;3.4758536362388766;3.9191549964930177;1.5287326575934146;LATIN;Eastern Europe;Europe;bartlomiej bosek;m;zbmath
PT;FR;IE;PT;Portugal;Europe;2.9893985086144306;0.1976247853529461;3.102460022655726;LATIN;Southern Europe;Europe;isabel fraga alves;f;zbmath
KR;KR;KR;KR;Korea, Republic of;Asia;5.761334844983899;1.3761155721160296;5.952279517141844;LATIN;Eastern Asia;Asia;jin ho choi;m;zbmath
ES;PT;AM;ES;Spain;Europe;3.0050870464402824;2.6883477591961604;1.345953316317437;LATIN;Southern Europe;Europe;ruben agapito;m;zbmath
IN;IN;IN;IN;India;Asia;3.0111781247670435;-0.4699102242362205;3.6702128947559087;LATIN;Southern Asia;Asia;bhopinder singh;m;zbmath
CZ;MD;BY;CZ;Czech Republic;Europe;5.567098375594727;5.7256007236806115;3.0855599088847323;LATIN;Eastern Europe;Europe;pavel jelinek;m;zbmath
BY;RO;BY;ID;Belarus;Europe;3.2895971428340656;5.5399419671800345;-1.1567709035350455;LATIN;Eastern Europe;Europe;andrei susea;m;zbmath
GB;IE;GE;GB;United Kingdom of Great Britain and Northern Ireland;Europe;3.6899508112150223;3.2880331500388587;2.6638547368129384;LATIN;Northern Europe;Europe;david mckinnon;m;zbmath
TW;CN;GR;TW;Taiwan;Asia;5.945290683786937;0.05003734231674661;7.327255585115874;LATIN;Eastern Asia;Asia;john ren chen;m;zbmath
DE;GB;DE;GB;Germany;Europe;2.955344541377261;3.546902533597984;1.8263985910013047;LATIN;Western Europe;Europe;paul horwich;m;zbmath
GB;IE;GB;IS;United Kingdom of Great Britain and Northern Ireland;Europe;0.3909401299130533;0.6998637634594704;-0.20023517164913607;LATIN;Northern Europe;Europe;darrel hankerson;m;zbmath
SN;GN;GN;SN;Senegal;Africa;4.709376682781472;2.5664626269468456;3.717706011966132;LATIN;Western Africa;Africa;oumar diankha;m;zbmath
JP;JP;JP;JP;Japan;Asia;4.271161855701751;3.8628816996312607;2.9986398500594555;LATIN;Eastern Asia;Asia;toshiyuki morita;m;zbmath
AT;DE;AT;DE;Austria;Europe;3.382961767542477;3.856759419473204;0.5263502424375124;LATIN;Western Europe;Europe;michael miesener;m;zbmath
IN;IN;CN;IN;India;Asia;0.6261318817807701;1.05077581126195;0.8615615353774325;LATIN;Southern Asia;Asia;carrie yam;f;zbmath
DE;DK;DE;DE;Germany;Europe;3.015083093739667;2.713716125639829;1.3465065227173294;LATIN;Western Europe;Europe;torsten weller;m;zbmath
DE;CH;CH;DE;Germany;Europe;3.363346757415418;2.3386942209844483;2.4865051960328293;LATIN;Western Europe;Europe;kathrin fischer;f;zbmath
ES;GB;ES;ES;Spain;Europe;2.7184923400036443;1.6120323383014572;1.4407773438848002;LATIN;Southern Europe;Europe;hector allende;m;zbmath
RS;RS;CZ;BA;Serbia;Europe;3.922977636769235;4.2811214354172735;1.1747185854247175;LATIN;Southern Europe;Europe;miroslav asic;m;zbmath
JP;GH;JP;JP;Japan;Asia;2.5877677602667;3.0253304431721584;-0.225943749243328;LATIN;Eastern Asia;Asia;makoto idzumi;u;zbmath
FR;DE;CM;MK;France;Europe;1.368439358544836;2.7327481002646263;1.2267286409000189;LATIN;Western Europe;Europe;michel brestovski;m;zbmath
FI;FI;FI;FI;Finland;Europe;3.741910935172666;-0.2748423630738444;2.6961384181548422;LATIN;Northern Europe;Europe;outi elina maasalo;f;zbmath
DE;AT;MK;DE;Germany;Europe;3.493781044115963;2.139560839772665;2.806617839449349;LATIN;Western Europe;Europe;oliver pfaff;m;zbmath
GB;IE;UG;GB;United Kingdom of Great Britain and Northern Ireland;Europe;3.5826518054064853;3.0815465695191566;3.0870072555756183;LATIN;Northern Europe;Europe;andrew clark;m;zbmath
IL;AM;GE;IL;Israel;Asia;2.8421686707151586;3.2880331500388587;1.4538119697320668;LATIN;Western Asia;Asia;david stern;m;zbmath
DE;DE;BE;DE;Germany;Europe;4.15545369750823;3.5296788885086072;2.7742057699927773;LATIN;Western Europe;Europe;dirk langemann;m;zbmath
FR;FR;FR;FR;France;Europe;3.900422351188036;0.7454939746280594;3.5183707918216705;LATIN;Western Europe;Europe;marie francoise delcroix;f;zbmath
TN;SY;TN;IN;Tunisia;Africa;2.3168923988192955;2.5598444186694143;1.1122846849051813;LATIN;Northern Africa;Africa;hatem najar;m;zbmath
IL;IL;RU;IL;Israel;Asia;4.306665717259029;4.771616155823977;3.548413464426276;LATIN;Western Asia;Asia;vladimir lifshitz;m;zbmath
KR;CN;KR;KR;Korea, Republic of;Asia;4.582992546176348;0.6164886181646572;4.6198008998336135;LATIN;Eastern Asia;Asia;mihyun kang;f;zbmath
JP;JP;JP;JP;Japan;Asia;3.6437544136808686;2.19695785109254;2.7169055347274624;LATIN;Eastern Asia;Asia;tatsuo sakai;m;zbmath
AT;RU;RU;PL;Austria;Europe;1.7897952499097554;4.6922486896681646;0.6981927939994097;LATIN;Western Europe;Europe;alexander doktor;m;zbmath
IN;CN;IN;IN;India;Asia;1.7193535371084558;1.1810909219549623;1.499719806148161;LATIN;Southern Asia;Asia;suhasini subba rao;f;zbmath
GB;IE;CH;GB;United Kingdom of Great Britain and Northern Ireland;Europe;2.7188905352169046;2.7714359456231423;2.2170856662227987;LATIN;Northern Europe;Europe;roger jones;m;zbmath
IE;GB;IL;IE;Ireland;Europe;2.099056048753386;0.3503728043741955;2.0781233633520704;LATIN;Northern Europe;Europe;david matthew kelly;m;zbmath
GB;NG;RW;GB;United Kingdom of Great Britain and Northern Ireland;Europe;1.5849877786076667;1.5813122644232065;1.0306833929328332;LATIN;Northern Europe;Europe;diane hope;f;zbmath
NL;NL;BE;NL;Netherlands;Europe;3.660948736382199;2.192811755248401;3.1618121408284465;LATIN;Western Europe;Europe;marc wouts;m;zbmath
DE;DE;AT;DE;Germany;Europe;3.4022088722438566;3.513894366808364;1.938217613447912;LATIN;Western Europe;Europe;horst kreth;m;zbmath
GB;IE;NL;GB;United Kingdom of Great Britain and Northern Ireland;Europe;2.4833683709760286;1.2636213990417335;1.742710852729637;LATIN;Northern Europe;Europe;mark nixon;m;zbmath
RO;MD;RO;RO;Romania;Europe;3.5036814360390767;3.867842217514655;0.2735999799878745;LATIN;Eastern Europe;Europe;florin vulpescu-jalea;m;zbmath
IE;GB;AT;LR;Ireland;Europe;3.6566939685801145;4.0894576561707545;1.3772310807184756;LATIN;Northern Europe;Europe;thomas king;m;zbmath
JP;JP;JP;JP;Japan;Asia;4.257385930396766;3.060067889430234;3.3568495832371115;LATIN;Eastern Asia;Asia;kenji nishida;m;zbmath
DE;AT;AT;DE;Germany;Europe;3.3441166532880224;4.148148164125864;2.1482989751021497;LATIN;Western Europe;Europe;christian doring;m;zbmath
IL;RU;ZW;RU;Israel;Asia;1.3391324214499585;1.7930682841103849;1.4797608650556449;LATIN;Western Asia;Asia;norman levin;m;zbmath
CY;AT;CY;DE;Cyprus;Asia;3.6072639014956653;4.755164394059767;1.6968866868939594;LATIN;Western Asia;Asia;andreas floer;m;zbmath
RU;RU;RU;RU;Russian Federation;Europe;4.836892158519358;3.3734314933742033;3.437476258150358;LATIN;Eastern Europe;Europe;vitaly ushakov;m;zbmath
JP;JP;JP;JP;Japan;Asia;4.2134500475859635;2.6676031066935035;3.2865991759521456;LATIN;Eastern Asia;Asia;tomonori yamada;m;zbmath
IE;GB;KE;GB;Ireland;Europe;3.2058961088142404;2.6121725319932882;2.5969276853892835;LATIN;Northern Europe;Europe;stephen williamson;m;zbmath
IE;GB;SE;IE;Ireland;Europe;1.7221577029384336;1.1567081601817273;2.5268759486593377;LATIN;Northern Europe;Europe;kent cantwell;m;zbmath
RU;UA;UA;RU;Russian Federation;Europe;3.5164666468180883;3.4038055274743257;0.6826152462982672;LATIN;Eastern Europe;Europe;igor samoilovych;m;zbmath
GB;GB;GB;GB;United Kingdom of Great Britain and Northern Ireland;Europe;2.1978033523132083;0.2006677931824848;1.7191806005296877;LATIN;Northern Europe;Europe;james murray hill;m;zbmath
DK;SE;DK;DK;Denmark;Europe;4.628558570437539;4.0859987448970285;1.3383622109022728;LATIN;Northern Europe;Europe;henrik vosegaard;m;zbmath
ZM;ZW;AL;KZ;Zambia;Africa;-0.17031509253295535;1.7041558816346651;-0.8402004045958489;LATIN;Eastern Africa;Africa;leonard kwuida;m;zbmath
RU;RU;GB;SI;Russian Federation;Europe;1.8089449106773137;2.405546252102321;1.6240585244674688;LATIN;Eastern Europe;Europe;gordon volk;m;zbmath
TN;TN;TN;TN;Tunisia;Africa;3.8331265847403433;1.301064551419279;3.1715104552670534;LATIN;Northern Africa;Africa;hamdi zorgati;m;zbmath
SK;MK;SK;CZ;Slovakia;Europe;2.6506084508880967;2.9760396887457143;0.3431232532428607;LATIN;Eastern Europe;Europe;lubica stanekova;f;zbmath
IT;IT;IT;IT;Italy;Europe;3.8193976285357034;2.0026380000554487;2.492962984709118;LATIN;Southern Europe;Europe;massimiliano pastore;m;zbmath
FR;FR;IE;FR;France;Europe;3.6343356372234483;3.884192270932228;3.015140429863979;LATIN;Western Europe;Europe;catherine pardoux;f;zbmath
ZA;IL;GH;ZA;South Africa;Africa;2.63972038685998;2.210613760209335;1.7466620961235937;LATIN;Southern Africa;Africa;ernest rothman;m;zbmath
HU;LV;HU;SK;Hungary;Europe;2.828082688074088;3.442266487477665;-0.2682574742814521;LATIN;Eastern Europe;Europe;emese vargyas;f;zbmath
IR;IR;TR;IR;Iran (Islamic Republic of);Asia;3.2904954605550185;2.282995915364208;2.9903518626529952;LATIN;Southern Asia;Asia;lutfi avazpour;u;zbmath
HU;SK;HU;HU;Hungary;Europe;4.943884639221738;4.451236087363029;2.4402873388811166;LATIN;Eastern Europe;Europe;zoltan boros;m;zbmath
DE;DE;DE;DE;Germany;Europe;3.7364238724480496;1.713139925194909;2.7614464127810683;LATIN;Western Europe;Europe;reiner kallenborn;m;zbmath
