ethno;ethnoAlt;geoCountry;geoCountryAlt;score;script;full_name;gender;source
Turkish;Turkish;TR;GB;1.2972939619492403;LATIN;figen acil kiraz;f;zbmath
Indian;Pakistanese;IN;IN;3.7980316233776743;LATIN;rakesh vohra;m;zbmath
Indian;Indian;IN;US;4.193968539265488;LATIN;rahul varshney;m;zbmath
Spanish;German;CO;PE;3.116892125584226;LATIN;luis bel;m;zbmath
Spanish;Spanish;ES;CO;2.8653252258490216;LATIN;santiago mira;m;zbmath
Indian;Pakistanese;IN;IN;3.397187584799916;LATIN;sunil audich;m;zbmath
Austrian;French;US;CH;4.0086311047688765;LATIN;michel klein;m;zbmath
Flemish;French;FR;FR;2.455791521111258;LATIN;antoine vandendorpe;m;zbmath
Italian;Italian;IT;US;1.649180267717116;LATIN;maura mezzetti;f;zbmath
Jewish;German;CH;CA;1.7322505116951907;LATIN;carl metzler;m;zbmath
Portuguese;Portuguese;PT;US;4.790303390430373;LATIN;carlos coimbra;m;zbmath
French;French;CH;BE;1.9443638067306377;LATIN;freddy bouchet;m;zbmath
Indian;Pakistanese;IN;IN;3.1655238592851287;LATIN;rama shankar;u;zbmath
Austrian;German;US;US;1.171208142985215;LATIN;jerald dauer;m;zbmath
Indian;Indian;IN;US;1.9208083930003181;LATIN;asim kumar mandal;u;zbmath
Polish;Polish;PL;US;4.6216168050264255;LATIN;waldemar cieslak;m;zbmath
Spanish;Spanish;ES;GB;3.3737013955650164;LATIN;marta llorente;f;zbmath
Irish;British;US;GB;1.5664347604238116;LATIN;christopher cannings;m;zbmath
Indonesian;Indonesian;ID;ID;1.702379777016485;LATIN;ori kfir;u;zbmath
Russian;Russian;RU;US;4.796608103471499;LATIN;maxim pavlov;m;zbmath
Jewish;British;AR;AR;1.4416290456680154;LATIN;alberto verjovsky;m;zbmath
Norwegian;Norwegian;US;GB;1.7369023502910086;LATIN;erik monness;m;zbmath
Serbian;Serbian;GB;US;5.328293041938205;LATIN;milija pavlovic;m;zbmath
Italian;Jewish;IT;IT;4.560373962583428;LATIN;fabrizio laurini;m;zbmath
HispanoLatino;AfricanAmerican;US;US;2.3641477301584795;LATIN;david woolbright;m;zbmath
Japanese;Japanese;JP;US;5.0407870990881865;LATIN;hisayoshi shimizu;m;zbmath
British;British;TT;US;1.5756306880603141;LATIN;natalie thorne;f;zbmath
Georgian;Jewish;GE;GE;3.046733367712186;LATIN;izolda wiercinska;f;zbmath
Austrian;Austrian;AT;CH;2.1749918882569754;LATIN;martin kruskemper;m;zbmath
Italian;Italian;MX;CR;3.667892838036517;LATIN;mario perez-jimenez;m;zbmath
Japanese;Japanese;JP;JP;5.039867773911795;LATIN;takahiro yatsuda;m;zbmath
Spanish;Spanish;ES;US;5.040956164063863;LATIN;antonio bonilla;m;zbmath
Norwegian;Norwegian;NO;US;1.974278443480765;LATIN;alf birger rustad;m;zbmath
French;Irish;US;IE;3.8036070177098167;LATIN;james maynard;m;zbmath
Iranian;Iranian;IR;CA;4.41932566813779;LATIN;amir kavousi;m;zbmath
Slovanian;Danish;US;US;3.0570636612019904;LATIN;robert godin;m;zbmath
Norwegian;Norwegian;NO;GB;5.4003106815602;LATIN;frode ronning;m;zbmath
Japanese;Japanese;JP;JP;4.461431104266521;LATIN;kimiaki konno;u;zbmath
Dutch;Flemish;NL;BE;3.745374090425929;LATIN;roel willems;m;zbmath
British;German;GB;GB;1.8462306701947864;LATIN;gareth ambler;m;zbmath
British;British;VE;JM;4.6984706224185615;LATIN;ronald gordon;m;zbmath
Austrian;Austrian;AT;CH;2.4332928840508083;LATIN;norbert adasch;m;zbmath
Bangladeshi;Sudanese;CA;SD;6.227279991718086;LATIN;abdel hadi ahmed;u;zbmath
Greek;Greek;GR;GR;3.7961237677884;LATIN;konstantinos kanakoglou;m;zbmath
French;Jewish;FR;FR;2.2476465538626402;LATIN;pierre marry;m;zbmath
Algerian;Egyptian;DZ;EG;2.2048212069253053;LATIN;nabil kahale;m;zbmath
Japanese;Japanese;JP;JP;4.283991669330597;LATIN;hitoshi horjo;m;zbmath
Swiss;German;GB;DE;5.3257906319843125;LATIN;dietrich suter;m;zbmath
Serbian;Serbian;RS;RS;4.692701827200057;LATIN;rade stanojevic;m;zbmath
Polish;Italian;FR;US;2.6480037308580697;LATIN;thomas pietraho;m;zbmath
Japanese;Japanese;JP;US;4.269704814033031;LATIN;takuji sato;m;zbmath
Greek;Greek;GR;GR;3.8312471459947854;LATIN;kyriakos kilakos;m;zbmath
Irish;Irish;US;CA;1.5349307518481796;LATIN;james maissen;m;zbmath
Jewish;Jewish;US;RU;2.019617515434585;LATIN;irene livshits;f;zbmath
French;German;US;CA;2.436654811740208;LATIN;kelly schultz;f;zbmath
Romanian;Jewish;RO;RO;4.718651188618964;LATIN;nicusor minculete;m;zbmath
Japanese;Japanese;JP;JP;4.847125737196317;LATIN;yoshihiko kitagaki;m;zbmath
Nigerian;Jewish;CA;FR;3.0136452443863053;LATIN;nicolas george;m;zbmath
Russian;Jewish;RU;RU;3.5166813446059;LATIN;yurij lovejkin;m;zbmath
German;Jewish;DE;DE;4.033815262985952;LATIN;joachim weickert;m;zbmath
Spanish;Spanish;ES;US;2.2408430296648767;LATIN;julio soria;m;zbmath
German;Jewish;DE;DE;4.2030559434526875;LATIN;matthias borowski;m;zbmath
French;French;CH;GB;1.0619779710410704;LATIN;bernadette perrin-riou;f;zbmath
Jewish;Polish;SE;PL;2.584580550988832;LATIN;anna bien;f;zbmath
Japanese;Japanese;JP;JP;4.383372028437863;LATIN;kazunori sakano;m;zbmath
Russian;Russian;RU;CA;6.047237283552137;LATIN;sergey ermakov;m;zbmath
Serbian;Serbian;RS;RS;5.6601223184407985;LATIN;dragana cvetkovic-ilic;f;zbmath
German;Austrian;DE;CH;4.066944295736705;LATIN;andreas weinmann;m;zbmath
Romanian;Romanian;RO;GB;0.7575340334108782;LATIN;razvan alin satnoianu;m;zbmath
Spanish;Spanish;ES;GB;2.8377256904350343;LATIN;beatriz sanz;f;zbmath
Jewish;Italian;RU;IT;1.073336143009866;LATIN;anna de-simone;f;zbmath
Chinese;Chinese;NZ;NZ;1.5502983463199886;LATIN;huy thang cao;u;zbmath
Congolese (Kinshasa);British;CD;US;1.6129086623307618;LATIN;justin colannino;m;zbmath
Spanish;Spanish;CO;AR;5.6421385546642675;LATIN;andres ramirez;m;zbmath
Polish;Jewish;PL;PL;4.478497827090344;LATIN;miroslaw slosarski;m;zbmath
British;Irish;US;US;2.350223673184497;LATIN;steven french;m;zbmath
Chinese;Chinese;CN;CN;2.7655757882215823;LATIN;ben da zhou;u;zbmath
Italian;Jewish;IT;IT;3.768754390289877;LATIN;agnese di-castro;f;zbmath
Austrian;Polish;US;US;3.9042170967681153;LATIN;michael szarek;m;zbmath
Japanese;Japanese;US;GB;5.228215368388535;LATIN;yumiko watanabe;f;zbmath
Chinese;Chinese;CN;CN;4.900506437565785;LATIN;shaoqing liu;m;zbmath
Chinese;Chinese;NZ;NZ;4.65293101226875;LATIN;kelong zhang;u;zbmath
Chinese;Chinese;CN;CN;3.823708906735223;LATIN;jinxiang yu;u;zbmath
Chinese;Chinese;CN;CN;5.5249343405744185;LATIN;yuecheng zhang;u;zbmath
Japanese;Japanese;JP;US;4.546060784947943;LATIN;kenjiro yamada;m;zbmath
Chinese;Chinese;NZ;NZ;2.4127580597569795;LATIN;po zhang;u;zbmath
Chinese;Chinese;CA;CA;0.5585632429749399;LATIN;hon kit wai;u;zbmath
Chinese;Chinese;CN;CN;2.7487262052312356;LATIN;bao wen sun;u;zbmath
Korean;Korean;US;US;6.958360348008659;LATIN;byoung chan lee;u;zbmath
Chinese;Chinese;CN;CN;4.316697412754607;LATIN;qunfeng yang;u;zbmath
Greek;Greek;CA;CA;2.8846286711749687;LATIN;peter nickolas;m;zbmath
Italian;Spanish;MX;ES;1.7211544394923886;LATIN;rosario di-nardo;u;zbmath
Japanese;Japanese;JP;GB;4.9572942854839965;LATIN;hiroshi okuno;m;zbmath
Chinese;Chinese;NZ;NZ;4.582020554815598;LATIN;shunpu zhang;m;zbmath
Indian;Indian;IN;US;4.211776403716939;LATIN;praveen agarwal;m;zbmath
Chinese;Chinese;CN;CN;2.7855522442766882;LATIN;phoebe hoidn;f;zbmath
Jewish;French;FR;FR;2.6339473292593323;LATIN;jacques pontier;u;zbmath
Irish;Liberia;IE;LR;2.98903088039984;LATIN;james king;m;zbmath
Slovakian;Czech;SK;CZ;2.7565134021328714;LATIN;helena samajova;f;zbmath
Georgian;Irish;US;IE;3.1908806321083936;LATIN;george lowther;m;zbmath
Irish;Swedish;IE;US;3.7469323818766767;LATIN;michael robertson;u;zbmath
Spanish;Spanish;US;MX;2.8352885755080384;LATIN;carlos renato vazquez;m;zbmath
Chinese;Chinese;CN;CN;4.06285438431323;LATIN;yuan xu;m;zbmath
