"","title","genderCoded"
"101","Antonio Ruberti (1927-2000)","male"
"102","Antony Frank Francis OBITUARY","male"
"103","Antony John Essex-Cater OBITUARY","male"
"104","Arakawa (1936-2010)","male"
"105","Archie MacDonald Revie - Obituary","male"
"106","Arne Jensen 1926-2000","male"
"107","Arsen Ralph Papakhian (1948-2010)","male"
"108","Arthur C. Cope Award - Peter G. Schultz","male"
"109","Arthur Levin - Obituary","male"
"110","Arthur M. Schlesinger, Jr. - Obituary","male"
"111","Arthur Philip Booth Waind - Obituary","male"
"112","Arturo Davila S.","male"
"113","Asghar Farhadi director had works published","male"
"114","Attila Botor (1937-2012) IN MEMORIAM","male"
"115","Attilio Castelli","male"
"116","Autobiography of Sason Shaik","male"
"117","Award for Distinguished Teaching in Psychology - Diane F. Halpern","female"
"118","Awards for meritorious contributions to neuropathology - Dr. Jeannette J. Townsend","female"
"119","B. Peter Block OBITUARY","male"
"120","B. Ramamurthi - (31 January 1922-13 December 2003) - Obituary","male"
"121","BAEZ,ENRIQUE,MORENO (1908-1976)","male"
"122","BERGERON,TOR - A BIOGRAPHY","male"
"123","BERGSON,HENRI","male"
"124","BLACPMA Aniversary, Magallanes and Tribute to Plutarco Naranjo","male"
"125","Babatunde Olatunji - Obituary","male"
"126","Ballet, Faustin Linyekula, Dance","male"
"127","Ballet, NOE SOULIER, choreography","male"
"128","Barouh V. Berkovits, MSEE (1926-2012) In Memorium","male"
"129","Benedict John Barry - 9.2.1936-6.9.2006 - Founding editor of Anaesthesia and Intensive Care - Obituary","male"
"130","Benita Speilhaus. Folklorist. Published several works","female"
"131","Benjamin Brauzer, 1934-2003 - Obituary","male"
"132","Benjamin S. Benjaminov - Obituary","male"
"133","Bernard E. Saltzman OBITUARY","male"
"134","Bernardino Luini's the Magdalene","male"
"135","Bernd Benthaak Obituary","male"
"136","Bernhard Wilpert (1936-2007)","male"
"137","Bertram Neville Brockhouse","male"
"138","Betty Shor","female"
"139","Bibliography of Henri J. Dumont","male"
"140","Bill Kane Passionate Practitioner","male"
"141","Bill Ricker: A man of gifted intellect, insatiable curiosity and generous spirit","male"
"142","Bing Zhi: pioneer of modern biology in China","male"
"143","Biographical sketch of David H. Solomon, MD","male"
"144","Birthday greetings to Gyorgy Kurtag from Pierre Boulez","male"
"145","Bo Jacobsen, MD, in memoriam","male"
"146","Bob Talley - In Memoriam","male"
"147","Bouley - tireless discloser of veterinary sciences","none"
"148","Brandt F Steele - Psychiatrist who helped define ""the battered-child syndrome"" and spearhead the protection movement - Obituary","male"
"149","Branimir Projic, lawyer by education (1935-2005)","male"
"150","Brenda and Manfred Winnewisser - Personal report","both"
"151","Brian J Melody - Obituary","male"
"152","Brigadier J. H. Wilkins - Deaths","none"
"153","Brittmarie Sandstrom - Professor, Dr. Fil, Frederiksberg, passed away on 22nd October 2002, 57 years old.","female"
"154","Bruce Campbell","male"
"155","Bruce Conner 1933-2008","male"
"156","Bruce D. Sidell (20 March 1948-8 February 2011) Obituary","male"
"157","Bruce Goldberg, August 31, 1937-April 29, 1999 - In memoriam","male"
"158","Bryn Terfel","male"
"159","Burnaby Munson: A personal tribute","male"
"160","Burton P. Drayer, MD, President, Radiological Society of North America, 2011","male"
"161","Byron H. Waksman 1919-2012 Obituary","male"
"162","C. D. Stobart","female"
"163","C. Dennis Irwin, Jr. Distinguished Service Award","male"
"164","C. L. R. James, social identity, and the black rebellion","male"
"165","C. SYLVESTER WHITAKER, Jr. IN MEMORIAM","male"
"166","C.C Li (1912-2003): his science and his spirit","male"
"167","CARA Award for Excellence in Teaching Medieval Studies - Janos Bak","male"
"168","CHARLES TILLY (MAY 20, 1929-APRIL 29, 2008)","male"
"169","CHIEF JUDGE JUDITH S. KAYE: PROUD TO CALL HER ONE OF OUR OWN TRIBUTE","female"
"170","CLAUDIO COVIELLO","male"
"171","CORRESPONDING MEMBER CATAR,GUSTAV NOW 60 YEARS OLD","male"
"172","CUNNINGHAM,JAMES,M.","male"
"173","CZECH PIONEER (ONE) DIED FROM CORPUS OF LINGUISTICS. Jindrich (Henry) Kicera (1925-2010).","male"
"174","Campbell Grieve Stalker - Obituary","male"
"175","Carl Christoph von Hoffmann (1735-1801) forgotten pioneer of beet sugar industry","male"
"176","Carl Gottfried Semper (1832-1893) and the location of his type specimens of sea cucumbers","male"
"177","Carl Gustav Jung, MD, 1875-1961 - Images in psychiatry","male"
"178","Carla Gavazzi - Obituary","female"
"179","Carlo Pucci - In-memoriam","male"
"180","Carlos Restrepo. A Real Master","male"
"181","Carol F. Justus - In memoriam","female"
"182","Catherine Schwarz (1933-2005) - Obituary","female"
"183","Causes of salt sensitivity - Status of research","none"
"184","Cedric Euan Ilife OBE, ERD, MA, C.Eng., FIMech.E - Obituary","male"
"185","Celebration of Leonhard Euler's 300th birthday","male"
"186","Charles Darwin: an inspiring plant biologist and author","male"
"187","Charles Everett Koop MD, DSc October 16, 1916-February 25, 2013 Obituary","male"
"188","Charles W. Johnston, Jr. 1923-2010 MEMORIAL","male"
"189","Chauncy C. Hart - Obituary","male"
"190","Christine Pena and Michel Pena, (Contemporary French landscape architects)","both"
"191","Christopher Moran - Obituary","male"
"192","Christopher O'Riley - Connecting with audiences","male"
"193","Christopher Wrey Savile Obituary","male"
"194","Citation for honorary member of the association of engineering geologists - Richard James Proctor","male"
"195","Citation for presentation of the 2010 Alfred Treibs Award to John Volkman","male"
"196","Citation for the 2008 Sidney H Ingbar Distinguished Service Award of the Endocrine Society to Dr. Lisa H. Fish","female"
"197","Citation for the 2009 Clinical Investigator Award Lecture of The Endocrine Society to Dr. Daniel Drucker","male"
"198","Citation for the 2009 Ernst Oppenheimer Award of The Endocrine Society to Dr. Constantine A. Stratakis","male"
"199","Citation for the 2013 Robert H. Williams Distinguished Leadership Award of The Endocrine Society to Dr John W. Funder","male"
"200","Citation of the 2005 Distinguished Physician Award of The Endocrine Society to Dr. Robert M. Carey","male"
"201","Clara Jean Fraser - Obituary","female"
"202","Clare Neville Smith Obituary","female"
"203","Clarence Lavett Smith","male"
"204","Claude Bernard, the first systems biologist, and the future of physiology","male"
"205","Claude Esteban (1935-2006)","male"
"206","Claudio Magris","male"
"207","Cleveland Abbe and American meteorology, 1871-1901","male"
"208","Clovis Vincent (1879-1947): founder of French neurosurgery and promoter of oncologic neurosurgery","male"
"209","Colin Mackenzie Davidson - Obituary","male"
"210","Colin McLaren Maddox - Obituary","male"
"211","Condi in crisis - Condoleezza Rice","female"
"212","Conferment of the NETZSCH-GEFTA Award 2004 to Dr. Stefan Sarge","male"
"213","Contribution of professor Ya Ya. Dodonov to the development of oil shale science (120 years since his birth)","male"
"214","Contributions of Dr. William C Menninger to military psychiatry","male"
"215","Contributions of Prof. Tim Langrish in Drying Technology Research","male"
"216","Cornelius S. Hurlbut, Jr. (1906-2005) - In memoriam","male"
"217","Cotton award to J. Ellis","male"
"218","Covering letter to Edwin Morgan","male"
"219","Cristofor I. Simionescu - Founder of the Romanian school of pulp, paper and fibres","male"
"220","Curriculum vitae","none"
"221","Cyd Charisse (1922-2008) - Death","female"
"222","Czech mate - Petr Kellner turned misfortune into a $3 billion fortune.","male"
"223","D. Evans (1919-2010) Obituary","male"
"224","D. S. Likhachev: An outstanding citizen, enlightener, and scientist","male"
"225","D.Ch. Temmoev (the 70(th) anniversary of birth)","male"
"226","DAVID D. KILMER OBITUARY","male"
"227","DEATHS RS Dugdale","male"
"228","DELIA RIGAL Obituary","female"
"229","DISTINGUISHED SERVICE AWARD AASP - The Palynological Society bestows upon DR THOMAS D. DEMCHUK The AASP Distinguished Service Award","male"
"230","Daisy Spies: In-Memoriam","female"
"231","Dale Kulp, 1949-2009 IN MEMORIAM","male"
"232","Dan Klein (1938-2009)","male"
"233","Dan W. Follmer - Obituary","male"
"234","Dance, SYHEM BELKHODJA, dance festival","female"
"235","Daniel K. Havey OBITUARY","male"
"236","David Abraham Katcher - Obituary","male"
"237","David Blow - 1931-2004 - Obituary","male"
"238","David Champernowne (1912-2000) - Obituary","male"
"239","David Hamilton Smith, MD, 1932-1999: A tribute","male"
"240","David Herbert Donald OBITUARY","male"
"241","David Lintott - Obituary","male"
"242","David Morris Welborn","male"
"243","David Murray OBITUARY","male"
"244","David Murray Robertson, MD May 4, 1932-October 15, 2012 IN MEMORIAM","male"
"245","David Ross Wigg MB BS, MD, PhD, FRCR, FRANZCR Obituary","male"
"246","David Schofield Jeffery OBITUARY","male"
"247","David Shoenberg at ninety","male"
"248","David Sider lecturer has works published","male"
"249","David Sutton - Obituary","male"
"250","David V. Smith (1943-2006) - Obituary","male"
"251","Dean A. Schmidt, 1930-1998 - Obituary","male"
"252","Deborah Dunsire","female"
"253","Dedication on the occasion of professor Xiaqi Ding's 80th birthday","male"
"254","Derek Charles Robinson - Obituary","male"
"255","Derek Wilson - Obituary","male"
"256","Devotion to caring: Memorial reflections on the life and contributions of Patrice L. Engle (1944-2012)","female"
"257","Discovery: Mieczyslaw Weinberg","male"
"258","Distinguished Contribution to Family Nursing Award (2009) Paivi Astedt-Kurki, PhD, RN","female"
"259","Distinguished New Zealand Geographer: Professor James Anthony (Tony) Binns","male"
"260","Domenico Menotti Garibaldi","male"
"261","Don Van Vliet OBITUARY","male"
"262","Donald Morgan Anderson 1930-2005 - Obituary","male"
"263","Donald Redfield Griffin - 3 August 1915 - 7 November 2003 - Biographical memoirs","male"
"264","Donald Stevenson Pitkin (1922-2012) OBITUARY","male"
"265","Donald William Gau - Obituaries","male"
"266","Donna McKay: taking a long lens on human rights","female"
"267","Dorothea Orem over the years","female"
"268","Dorothy R. Hill, 1931-2007 OBITUARY","female"
"269","Douglas G. Patchen - Honorary member - AAPG honorees, 2004","male"
"270","Dr Alfred Velpeau (1795-1867) of Tours: the umbilical cord and birth asphyxia","male"
"271","Dr E. J. Sweeney - Deaths","male"
"272","Dr Edwin Kenneth Woodford, OBE, PhD, 1911-1998 - Obituary","male"
"273","Dr Montizambert and the 1918-1919 Spanish influenza pandemic in Canada","male"
"274","Dr Peter Nathan, MD, FRCP - Obituary","male"
"275","Dr R. M. Simpson - Obituary","male"
"276","Dr Richard Moreton Ellison (1914-2008) Obituary","male"
"277","Dr Robert E Beamish Award - Dr Justin A Ezekowitz","male"
"278","Dr Roy Sharpe CEng FlnstP FIM HonFlnstNDT - 15.04.1925-01.05.2005 - Obituary","male"
"279","Dr Samuel Eiduson, 1918-2007 - Obituary","male"
"280","Dr. Catherine Pasquier - 1940-2002 - In loving memory","female"
"281","Dr. Clifton Fletcher Mountain - In memoriam","male"
"282","Dr. Frank Hetrick Obituary","male"
"283","Dr. J Frances Allen: Pioneer of Women in Fisheries","female"
"284","Dr. John F Barrett 1955-2006 - Obituary","male"
"285","Dr. Kimberly K. Hansen","female"
"286","Dr. Marco Pizzolato: Semblanza de su persona","male"
"287","Dr. Maurice Jurkiewicz September 24, 1923-May 29, 2011","male"
"288","Dr. Michael E. DeBakey and his contributions in the field of artificial organs - September 7, 1908-July 11, 2008","male"
"289","Dr. Peer Michael Portner January 8, 1940-February 9, 2009","male"
"290","Dr. QIAN Yi-jian Obituary","male"
"291","Dr. Robert C.Weih, Jr. In Memoriam","male"
"292","Dr. Robert Peiffer Obituary","male"
"293","Dr. Susan Mainka Obituary","female"
"294","Dr. Thomas C. Sparks' Swarm of Ideas","male"
"295","Dr. Willem J. Kolff In Memorian","male"
"296","Dr.Sc. Srecko Jelenic, assistant professor (1966-2008) - In memoriam","male"
"297","Durr Freedley: An American master in an English art","male"
"298","E. Paul Torrance (1915-2003)","male"
"299","E.J. Strickland Search and Explore Mission","none"
"300","E.P. Kovalevskii, the diplomat and orientalist","male"
"301","EAAP Distinguished Service Awards, 2000 - Professor T.M. Sutherland","male"
"302","EULA BEAL OBITUARY","female"
"303","EZIO FLAGELLO Obituary","male"
"304","Earl Witenberg, MD 1917-2002","male"
"305","Eberhard Braun is dead","male"
"306","Edda Farnetani 1936-2010 In Memoriam","female"
"307","Edmund Neville Hey OBITUARY","male"
"308","Edsger W. Dijkstra - Acta Informatica and Marktoberdorf","male"
"309","Edward De Maeyer, MD 1932-2003 - In memoriam","male"
"310","Edward Said - 1935-2003","male"
"311","Edward Teller's scientific life","male"
"312","Edwin Carlyle (Carl) Wood AC, CBE, MB BS, FRCS, FRCOG, FRACOG Obituary","male"
"313","Edwin Sinclair Young - MB BS, FRANZCP - Obituary","male"
"314","Elhers and Danlos of the Ehlers-Danlos syndrome","male"
"315","Elisabeth Dalton - In-memoriam","female"
"316","Elizabeth Joan Stokes Obituary","female"
"317","Elizabeth M. Wilkinson (1909-2001) - In memoriam","female"
"318","Elizabeth Parkinson Cobb - Obituary","female"
"319","Elizabeth Tollet: A new Newtonian woman","female"
"320","Eloge JOHN COLTON GREENE, 1917-2008","male"
"321","Eloge de Bernard Glorion (1928-2007)","male"
"322","Emerald ex-editor honoured by UN and USA - Brian Ellis","male"
"323","Emeritus professor W.M. Edgar BDS BSc PhD DDSc FDSRCS","male"
"324","Emilio Carballido","male"
"325","Enrica Follieri (December 5, 1926-December 11, 1999) (In-Memoriam)","female"
"326","Eric Matheson Dunlop - Obituary","male"
"327","Erica Gastelli - In-memoriam","female"
"328","Erich Oberdorfer - 1905-2002","male"
"329","Erik P. Mason - Distinguished service award","male"
"330","Ernest Gold - In-Memoriam","male"
"331","Ernst Knobil - Obituary","male"
"332","Ernst Otto Fischer - Obituary","male"
"333","Erving F. Beauregard - Obituary","male"
"334","Estela E. Medrano (1943-2010) IN MEMORIAM","female"
"335","Eugene Goldwasser (1922-2010) OBITUARY","male"
"336","Eunice Kennedy Shriver In Memoriam","female"
"337","Evgenii Akimovich Turov (on his eightieth birthday)","male"
"338","Evgenii Nikolaevich Avrorin (on his 80th birthday)","male"
"339","Exchange reactions with Dick Dalitz","male"
"340","Ezra Weiss Beyond The Lookingglass","male"
"341","F. W. Lancaster as scholar, teacher, and mentor: Reflections of students","male"
"342","FOR MILAN PODRIMAVSKY (1943-2011)","male"
"343","Father Marcel Regnier (1900-1998) - In memoriam","male"
"344","Father d'Escoto's United Nations The General Assembly's new president is a champion for the world's most dispossessed","male"
"345","Fayard Nicholas","male"
"346","Felix Hull (1915-2010) OBITUARY","male"
"347","Festschrift in honour of F.J. Zuiderweg","male"
"348","Flawed Meta-Analysis of Biodiversity Effects of Forest Management","none"
"349","Focus in honor of Michael T. Bowers, recipient of the 2004 Award for Distinguished Contribution in Mass Spectrometry","male"
"350","Folkert Koppen (1925-2004) - In memoriam","male"
"351","For Eng. Miroslav Babek. He is an engineer. Published several works.","male"
"352","For Marian Cehelnik (1954-2009). He was a philosopher. He published several works.","male"
"353","Francis Collins: Director of the US National Institutes of Health Profile","male"
"354","Frank A. Pattie, PhD: In memoriam","male"
"355","Franz Leydig (1821-1908) - Historical note","male"
"356","Fraunhofer: a scientific/technical icon","male"
"357","Fred Homer - In memoriam","male"
"358","Friends remember Milton Terris","male"
"359","Fritjof Capra","male"
"360","Fritz H. Laves - 100 years young","male"
"361","From the diaries of S.L. Rubinshtein","male"
"362","G. Alan Marlatt: 1941-2011 In Memoriam","male"
"363","G. B. A. Duchenne de Boulogne (1806-1875)","male"
"364","G. Suryan (1924-2006)","male"
"365","GEORG KULENKAMPFF","male"
"366","GEORGE EMMANUEL KAFULAFULA OBITUARY","male"
"367","GIOVANNI BORELLI AND THE COMETS OF 1664-65","male"
"368","Gabriel A. Almond - 12 January 1911 center dot 25 December 2002","male"
"369","Galina Matveevna Florianovich (February 18, 1924 June 6, 2004) - Obituary","female"
"370","Game of cricket, roses, Ninian - A tribute In-Memoriam to Ninian Smart, 1927-2001","male"
"371","Garry Davis Jones (1952-2004)","male"
"372","Gary L. Gaile (1945-2009) In Memoriam","male"
"373","Gen Shirane","male"
"374","Gene L. Colborn (1935-2011)","male"
"375","Genuine multidisciplinarity: a tribute to Line Garnero","female"
"376","Geoffrey John Frederick Pugh, 1924-2006: an authority on decomposition by soil fungi Obituary","male"
"377","Georg Kelling (1866-1945). The man who introduced modern laparoscopy into medicine","male"
"378","George Adam Newsholme OBITUARY","male"
"379","George Adams OBITUARY","male"
"380","George Alfred Fiske Quinnell - Obituary","male"
"381","George Duncan (January 11, 1943 January 17, 2007) - In memoriam","male"
"382","George Holmes (1927-2009) Obituary","male"
"383","George Segal 1924-2000 - Obituary","male"
"384","George Veronis: An appreciation","male"
"385","George W. Housner (1910-2008) OBITUARY","male"
"386","George William Scott Blair, MA PhD DSc FRIC FInstP (1902-1987): The man and his work","male"
"387","George Zoritch Obituary","male"
"388","Gerald L. Shook (1948-2011) In Memoriam","male"
"389","Gerard(Gerry) Salton","male"
"390","Gerd Larsen - In-memoriam","female"
"391","Gerhard Zacharias - In-memoriam","male"
"392","Gernant E. Maurer","male"
"393","Gernot Boche (1938-2011) Obituary","male"
"394","Gilbert Jenkins - Dedication","male"
"395","Gillian Anne Hartley - Obituary","female"
"396","Gisela Buschendorf-Otto (1921-2011)","female"
"397","Giuseppe (Peppino) Rognoni, 1922-2007 - Obituary","male"
"398","Giuseppe Imbo and his contribution to volcano seismology","male"
"399","Giuseppe Prezzolini","male"
"400","Gold Medal - Dr. Angela Enright","female"
"401","Gonzalo Paramo","male"
"402","Gordon H. Rovelstad The Forty-seventh President of the IADR, 1970-71 IN MEMORIAM","male"
"403","Graham Martin Pizzey, AM, D.App.Sc. (Hon.) - Naturalist, Photographer, Author - 4 July 1930-12 November 2001 - Obituary","male"
"404","Graham Robert Allan, 1936-2007 OBITUARY","male"
"405","Graham Warner Ward - 1916-2005 - Obituary","male"
"406","Gregory Enders joins Fox Chase Cancer Center","male"
"407","Gregory Robert Mundy 1942-2010 IN MEMORIAM","male"
"408","Griff Terry Ross (1921-1985)","male"
"409","Guest editor's biography - S.L.C. Ferreira","male"
"410","Guillermo Lohmann Villena (1915-2005) Obituary","male"
"411","Gustavo Boyer musician no works published","male"
"412","Gwilym Kenneth Davies - Obituaries","male"
"413","H. BENTLEY GLASS BIOGRAPHICAL MEMOIRS","male"
"414","H. Richard Carlson - Obituary","male"
"415","H.W. (Bill) Faulkner 1945 2002 - Obituary","male"
"416","HARRY S. HALL IN MEMORIAM","male"
"417","HUGH TOTTENHAM 1926-2012 Obituary","male"
"418","Hans Pauly","male"
"419","Hans Steinert: 100 years of myotonic dystrophy","male"
"420","Hans Striedl 1907-2002","male"
"421","Happy 100(th) birthday to Dr. Lauriston S. Taylor","male"
"422","Harald Patzer","male"
"423","Harold Gordon Jacobson, 1912-2001 - Memorial","male"
"424","Harold H. Maynard Award - Min Ding","male"
"425","Harold R. Behrman, Ph.D. 1939-2008 IN MEMORIAM","male"
"426","Harry Francis West Taylor (1923-2002) - Obituary","male"
"427","Harry O'Neill, 1929-2008 IN MEMORIAM","male"
"428","Heinz A. Staab: ""For me scientific work was always the focus.""","male"
"429","Heinz Arndt: An appreciation","male"
"430","Helena Waldmann Alain Platel","female"
"431","Helmut E. Adler (1920-2001). Obituary","male"
"432","Hendrik Lambotte 1925-2011","male"
"433","Henry A. K. Charlesworth 1931-2006 - Memorial","male"
"434","Henry James, in Short","male"
"435","Henry Morgan - In Memoriam","male"
"436","Herbert A. Simon (1916-2001): The scientist of the artificial ","male"
"437","Herta Julie Altschulova - Obituary","female"
"438","Hikaru Hamano, MD: A Gentle Giant OBITUARY","male"
"439","His Honour Quentin Edwards QC, 1925-2010 OBITUARY","male"
"440","History of anaesthesia - M. Goerig und W. Schwarz","male"
"441","Hjalmar Vilhjalmsson (September 25, 1937-August 20, 2011) In Memoriam","male"
"442","Homage to Enn Tarvel","none"
"443","Honor and Nominations - Prof. Hans Gerhard lMaier","male"
"444","Honorary president Prof. Dr. Helmut Scheunemann dies","male"
"445","Horst Schmutzler 80 years of age","male"
"446","How I became a biochemist","none"
"447","Howard E Gruber (1922-2005)","male"
"448","Hugh Kenner's achievement","male"
"449","Hugh Scully first surgeon in 13 years to take CMB helm","male"
"450","Humphrey Melville Edward Kay: an appreciation","male"
"451","I affirm your being - A.V. Brushlinsky","male"
"452","I promise to be the best surgeon - Remembering Claude H. Organ, Jr","male"
"453","IN MEMORIAM LESZEK KOLAKOWSKI (1927-2009)","male"
"454","IN MEMORIAM LIVIU GOZARIU (1930-2012) Honorary President of the Romanian Society of Endocrinology","male"
"455","IN MEMORIAM On the occasion of the Professor John Szentagothai Centennial","male"
"456","IN MEMORIAM: MICHAEL DUMMETT 1925-2011","male"
"457","IN MEMORIAM: RICHARD RORTY (1931-2007)","male"
"458","IN MEMORY OF PROFESSOR, DR. PARAICZ ERVIN (1927-2012) HE WAS A NEUROSURGEON","male"
"459","INTRODUCTION OF THE JOHN ARTHUR WILSON MEMORIAL LECTURE","male"
"460","IPATIEFF PRIZE AWARD","female"
"461","Ian Frazer","male"
"462","Ian Frazer: finding a vaccine for human papillomavirus","male"
"463","Ida Dubois (1947-2003) - In memorium","female"
"464","Ignacio ""Nacho"" Abello author had works published","male"
"465","Il'ia Zakharovich Serman, 1913-2010 In Memoriam","male"
"466","Ilya Metchinikoff (1845-1908)","male"
"467","Images of beauty (Assessing the career of Sir Michael Tippett, 1905-1998)","male"
"468","In Appreciation of Michael D. Lockshin, MD","male"
