"Article_ID","Full_Title","Link_to_Article","Journal","Year","Month","First Author Gender","pubmed_query","pubmed_id","ForeName","LastName"
"Alexander et al. (2004)","Vaccine Policy Changes and Epidemiology of Poliomyelitis in the United States","http://jama.jamanetwork.com/article.aspx?articleid=199583","JAMA","2004","10 - Oct","Female","Alexander 2004 Vaccine Policy Changes Epidemiology Poliomyelitis United States","15479934.0","Lorraine Niño","Alexander"
"Alexander et al. (2004)","Ciprofloxacin or Tamsulosin in Men with Chronic Prostatitis/Chronic Pelvic Pain Syndrome: A Randomized| Double-Blind Trial","http://annals.org/article.aspx?articleid=717885","Annals of Internal Medicine","2004","10 - Oct","Male","Alexander 2004 Ciprofloxacin Tamsulosin Chronic Prostatitis Chronic Pelvic Syndrome Randomized Double Blind Trial","15492337.0","Richard B","Alexander"
"Alexander et al. (2008)","National Trends in Treatment of Type 2 Diabetes Mellitus| 1994-2007","http://archinte.jamanetwork.com/article.aspx?articleid=773439","Archives of Internal Medicine","2008","10 - Oct","Male","Alexander 2008 National Trends Treatment Diabetes Mellitus","18955637.0","G Caleb","Alexander"
"Aliti et al. (2013)","Aggressive Fluid and Sodium Restriction in Acute Decompensated Heart Failure:   A Randomized Clinical Trial","http://archinte.jamanetwork.com/article.aspx?articleid=1689981","Archives of Internal Medicine","2013","06 - Jun","Female","Aliti 2013 Aggressive Fluid Sodium Restriction Acute Decompensated Heart Failure Randomized Clinical Trial","23689381.0","Graziella Badin","Aliti"
"Al-Khatib et al. (2005)","Clinical and Economic Implications of the Multicenter Automatic Defibrillator Implantation Trial-II","http://annals.org/article.aspx?articleid=718329","Annals of Internal Medicine","2005","04 - Apr","Female","Al-Khatib 2005 Clinical Economic Implications Multicenter Automatic Defibrillator Implantation Trial","15838065.0","Sana M","Al-Khatib"
"Allen et al. (1999)","Bed rest: a potentially harmful treatment needing more careful evaluation","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(98)10063-6/abstract","The Lancet","1999","10 - Oct","Male","Allen 1999 potentially harmful treatment needing careful evaluation","10520630.0","C","Allen"
"Allen et al. (2013)","Lactobacilli and bifidobacteria in the prevention of antibiotic-associated diarrhoea and Clostridium difficile diarrhoea in older inpatients (PLACIDE): a randomised| double-blind| placebo-controlled| multicentre trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)61218-0/abstract","The Lancet","2013","10 - Oct","Male","Allen 2013 Lactobacilli bifidobacteria prevention antibiotic associated diarrhoea Clostridium difficile diarrhoea older inpatients PLACIDE randomised double blind placebo controlled multicentre trial","23932219.0","Stephen J","Allen"
"Allen et al. (2014)","Comparison of Pregabalin with Pramipexole for Restless Legs Syndrome","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1303646","NEJM","2014","02 - Feb","Male","Allen 2014 Comparison Pregabalin Pramipexole Restless Syndrome","24521108.0","Richard P","Allen"
"Alliegro et al. (1997)","Incidence and Consequences of Pregnancy in Women With Known Duration of HIV Infection","http://archinte.jamanetwork.com/article.aspx?articleid=624145","Archives of Internal Medicine","1997","12 - Dec","Female","Alliegro 1997 Incidence Consequences Pregnancy Women Known Duration Infection","9531227.0","M B","Alliegro"
"Alm et al. (1997)","Early BCG vaccination and development of atopy","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(97)02207-1/abstract","The Lancet","1997","08 - Aug","Male","Alm 1997 Early vaccination development atopy","9259654.0","J S","Alm"
"Almond et al. (2005)","Hyponatremia among Runners in the Boston Marathon","http://www.nejm.org/doi/pdf/10.1056/NEJMoa043901","NEJM","2005","04 - Apr","Male","Almond 2005 Hyponatremia among Runners Boston Marathon","15829535.0","Christopher S D","Almond"
"Alonso et al. (2005)","Duration of protection with RTS|S/AS02A malaria vaccine in prevention of Plasmodium falciparum disease in Mozambican children: single-blind extended follow-up of a randomised controlled trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67669-6/abstract","The Lancet","2005","12 - Dec","Male","Alonso 2005 Duration protection AS02A malaria vaccine prevention Plasmodium falciparum disease Mozambican children single blind extended follow randomised controlled trial","16338450.0","Pedro L","Alonso"
"Al-Ruzzeh et al. (2006)","Effect of off-pump coronary artery bypass surgery on clinical| angiographic| neurocognitive| and quality of life outcomes: randomised controlled trial","","BMJ","2006","06 - Jun","Male","Al-Ruzzeh 2006 Effect coronary artery bypass surgery clinical angiographic neurocognitive quality outcomes randomised controlled trial","16740529.0","Sharif","Al-Ruzzeh"
"Althabe et al. (2004)","Mandatory second opinion to reduce rates of unnecessary caesarean sections in Latin America: a cluster randomised controlled trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(04)16406-4/abstract","The Lancet","2004","06 - Jun","Male","Althabe 2004 Mandatory second opinion reduce rates unnecessary caesarean sections Latin America cluster randomised controlled trial","15194252.0","Fernando","Althabe"
"Altman et al. (2010)","Risk of Renal Cell Carcinoma After Hysterectomy","http://archinte.jamanetwork.com/article.aspx?articleid=776467","Archives of Internal Medicine","2010","12 - Dec","Male","Altman 2010 Renal Carcinoma After Hysterectomy","21149759.0","Daniel","Altman"
"Alvarez-Blasko et al. (2006)","Prevalence and Characteristics of the Polycystic Ovary Syndrome in Overweight and Obese Women","http://archinte.jamanetwork.com/article.aspx?articleid=411160","Archives of Internal Medicine","2006","10 - Oct","Male","Alvarez-Blasko 2006 Prevalence Characteristics Polycystic Ovary Syndrome Overweight Obese Women","17060537.0","Francisco","Alvarez-Blasco"
"Alward et al. (1998)","CLINICAL FEATURES ASSOCIATED WITH MUTATIONS IN THE CHROMOSOME 1  OPEN-ANGLE GLAUCOMA GENE (GLC1A)","http://www.nejm.org/doi/pdf/10.1056/NEJM199804093381503","NEJM","1998","04 - Apr","Male","Alward 1998 CLINICAL FEATURES ASSOCIATED MUTATIONS CHROMOSOME ANGLE GLAUCOMA GLC1A","9535666.0","W L","Alward"
"Amin et al. (2000)","Association of Hypogonadism and Estradiol Levels with Bone Mineral Density in Elderly Men from the Framingham Study","http://annals.org/article.aspx?articleid=714062","Annals of Internal Medicine","2000","12 - Dec","Female","Amin 2000 Association Hypogonadism Estradiol Levels Mineral Density Elderly Framingham Study","11119396.0","S","Amin"
"Amin et al. (2012)","Use of Drug-Eluting Stents as a Function of Predicted Benefit Clinical and Economic Implications of Current Practice","http://archinte.jamanetwork.com/article.aspx?articleid=1212634","Archives of Internal Medicine","2012","08 - Aug","Male","Amin 2012 Eluting Stents Function Predicted Benefit Clinical Economic Implications Current Practice","22777536.0","Amit P","Amin"
"Ammann et al. (2005)","An Electrocardiogram-Based Algorithm To Detect Loss of Left Ventricular Capture during Cardiac Resynchronization Therapy","http://annals.org/article.aspx?articleid=1143720","Annals of Internal Medicine","2005","06 - Jun","Male","Ammann 2005 Electrocardiogram Based Algorithm Detect Ventricular Capture during Cardiac Resynchronization Therapy","15968011.0","Peter","Ammann"
"Anagnostou et al. (2014)","Assessing the efficacy of oral immunotherapy for the desensitisation of peanut allergy in children (STOP II): a phase 2 randomised controlled trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)62301-6/abstract","The Lancet","2014","04 - Apr","Female","Anagnostou 2014 Assessing efficacy immunotherapy desensitisation peanut allergy children phase randomised controlled trial","24485709.0","Katherine","Anagnostou"
"Anand et al. (2007)","Health workers and vaccination coverage in developing countries: an econometric analysis","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)60599-6/abstract","The Lancet","2007","04 - Apr","Male","Anand 2007 Health workers vaccination coverage developing countries econometric analysis","17434403.0","Sudhir","Anand"
"Ananth et al. (2013)","Pre-eclampsia rates in the United States| 1980-2010: age-period-cohort analysis","","BMJ","2013","12 - Dec","Male","Ananth 2013 eclampsia rates United States period cohort analysis","24201165.0","Cande V","Ananth"
"Anastos et al. (2004)","The Prognostic Importance of Changes in CD4+Cell Count and HIV-1 RNA Level in Women after Initiating Highly Active Antiretroviral Therapy","http://annals.org/article.aspx?articleid=717217","Annals of Internal Medicine","2004","02 - Feb","Female","Anastos 2004 Prognostic Importance Changes Count Level Women after Initiating Highly Active Antiretroviral Therapy","14970148.0","Kathryn","Anastos"
"Andersen et al. (2003)","Computer Use and Carpal Tunnel Syndrome:","http://jama.jamanetwork.com/article.aspx?articleid=196717","JAMA","2003","06 - Jun","Male","Andersen 2003 Computer Carpal Tunnel Syndrome","12799404.0","Johan Hviid","Andersen"
"Anderson et al. (2003)","Physician| Public| and Policymaker Perspectives on Chronic Conditions","http://archinte.jamanetwork.com/article.aspx?articleid=215129","Archives of Internal Medicine","2003","02 - Feb","Male","Anderson 2003 Physician Public Policymaker Perspectives Chronic Conditions","12588202.0","Gerard F","Anderson"
"Anderson et al. (2014)","Rates of Cardiopulmonary Resuscitation Training in the United States","http://archinte.jamanetwork.com/article.aspx?articleid=1779728","Archives of Internal Medicine","2014","02 - Feb","Female","Anderson 2014 Rates Cardiopulmonary Resuscitation Training United States","24247329.0","Monique L","Anderson"
"Andersson et al. (1999)","Fertility patterns after appendicectomy: historical cohort study","","BMJ","1999","04 - Apr","Male","Andersson 1999 Fertility patterns after appendicectomy historical cohort study","10195964.0","R","Andersson"
"Andrews et al. (2011)","Transmission dynamics and control of cholera in Haiti: an epidemic model","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(11)60273-0/abstract","The Lancet","2011","04 - Apr","Male","Andrews 2011 Transmission dynamics control cholera Haiti epidemic model","21414658.0","Jason R","Andrews"
"Anker et al. (1997)","Wasting as independent risk factor for mortality in chronic heart failure","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(96)07015-8/abstract","The Lancet","1997","04 - Apr","Male","Anker 1997 Wasting independent factor mortality chronic heart failure","9107242.0","S D","Anker"
"Anselmo et al. (2004)","Fetal Loss Associated With Excess Thyroid Hormone Exposure","http://jama.jamanetwork.com/article.aspx?articleid=199234","JAMA","2004","08 - Aug","Male","Anselmo 2004 Fetal Associated Excess Thyroid Hormone Exposure","15304465.0","João","Anselmo"
"Anstrom et al. (2008)","Long-term Clinical Outcomes Following Coronary Stenting","http://archinte.jamanetwork.com/article.aspx?articleid=770351","Archives of Internal Medicine","2008","08 - Aug","Male","Anstrom 2008 Clinical Outcomes Following Coronary Stenting","18695078.0","Kevin J","Anstrom"
"Anthonisen et al. (2005)","The Effects of a Smoking Cessation Intervention on 14.5-Year Mortality: A Randomized Clinical Trial","http://annals.org/article.aspx?articleid=718212","Annals of Internal Medicine","2005","02 - Feb","Male","Anthonisen 2005 Effects Smoking Cessation Intervention Mortality Randomized Clinical Trial","15710956.0","Nicholas R","Anthonisen"
"Antiretroviral Therapy Cohort Collaboration et al. (2005)","The Changing Incidence of AIDS Events in Patients Receiving Highly Active Antiretroviral Therapy","http://archinte.jamanetwork.com/article.aspx?articleid=486426","Archives of Internal Medicine","2005","02 - Feb","Male","2005 Changing Incidence Events Patients Receiving Highly Active Antiretroviral Therapy","15738371.0","Antonella","d'Arminio Monforte"
"Antonelli et al. (1998)","A COMPARISON OF NONINVASIVE POSITIVE-PRESSURE VENTILATION AND  CONVENTIONAL MECHANICAL VENTILATION IN PATIENTS WITH ACUTE  RESPIRATORY FAILURE","http://www.nejm.org/doi/pdf/10.1056/NEJM199808133390703","NEJM","1998","08 - Aug","Male","Antonelli 1998 COMPARISON NONINVASIVE POSITIVE PRESSURE VENTILATION CONVENTIONAL MECHANICAL VENTILATION PATIENTS ACUTE RESPIRATORY FAILURE","9700176.0","M","Antonelli"
"Antoniou et al. (2010)","Trimethoprim-Sulfamethoxazole–Induced Hyperkalemia in Patients Receiving Inhibitors of the Renin-Angiotensin System:   A Population-Based Study","http://archinte.jamanetwork.com/article.aspx?articleid=416098","Archives of Internal Medicine","2010","06 - Jun","Male","Antoniou 2010 Trimethoprim Sulfamethoxazole–Induced Hyperkalemia Patients Receiving Inhibitors Renin Angiotensin System Population Based Study","20585070.0","Tony","Antoniou"
"Apatira et al. (2008)","Hope| Truth| and Preparing for Death: Perspectives of Surrogate Decision Makers","http://annals.org/article.aspx?articleid=744153","Annals of Internal Medicine","2008","12 - Dec","Female","Apatira 2008 Truth Preparing Death Perspectives Surrogate Decision Makers","19075205.0","Latifat","Apatira"
"Apfel et al. (2004)","A Factorial Trial of Six Interventions for the Prevention of Postoperative Nausea and Vomiting","http://www.nejm.org/doi/pdf/10.1056/NEJMoa032196","NEJM","2004","06 - Jun","Male","Apfel 2004 Factorial Trial Interventions Prevention Postoperative Nausea Vomiting","15190136.0","Christian C","Apfel"
"Appel et al. (2008)","Long-term Effects of Renin-Angiotensin System–Blocking Therapy and a Low Blood Pressure Goal on Progression of Hypertensive Chronic Kidney Disease in African Americans","http://archinte.jamanetwork.com/article.aspx?articleid=414567","Archives of Internal Medicine","2008","04 - Apr","Male","Appel 2008 Effects Renin Angiotensin System–Blocking Therapy Blood Pressure Progression Hypertensive Chronic Kidney Disease African Americans","18443258.0","Lawrence J","Appel"
"Araujo et al. (2007)","Sex Steroids and All-Cause and Cause-Specific Mortality in Men","http://archinte.jamanetwork.com/article.aspx?articleid=412677","Archives of Internal Medicine","2007","06 - Jun","Male","Araujo 2007 Steroids Cause Cause Specific Mortality","17592098.0","Andre B","Araujo"
